Abakanowicz,Polish
Abakarova,
Abal,
Abalain,
Abali,
Abalibede,"Spanish,Basque"
Abalibide,
Abalibide echeverria,"Spanish,Basque"
Abalivide,
Aballay,
Abalo,
Abalos,Spanish
Abaltzisketa,
Abanda,French
Abando,
Abang,
Abangan,
Abanilla,
Abano,
Abant,
Abante,
Abanto,"Spanish,English"
Abaquesne,
Abar,
Abara,
Abarbanel,
Abarbanell,
Abarca,Spanish
Abarca de Bolea,
Abard,
Abare,
Abaria,"Spanish,Basque"
Abarientos,
Abarno,
Abarnou,
Abaroa,
Abarquez,
Abarr,
Abarra,
Abarza,Spanish
Abarzúa,
Abas,
Abascal,Spanish
Abasi,
Abasiz,
Abass,
Abassi,
Abasta,
Abasto,
Abat,
Abata,
Abatangelo,
Abatantuono,
Abate,
Abatecola,
Abatelli,
Abatemarco,
Abaterusso,
Abati,Italian
Abato,
Abaunza,
Abawi,
Abayan,
Abayomi,
Abayon,
Abaza,
Abb,
Abba,Italian
Abbadessa,
Abbadie,
Abbado,
Abbagnale,
Abbagnato,
Abbamonte,
Abban,
Abbarno,
Abbas,
Abbasi,
Abbass,
Abbassi,
Abbaszadeh,
Abbatangelo,
Abbate,
Abbatemarco,
Abbati,Italian
Abbatiello,
Abbatini,Italian
Abbatoy,
Abbatt,
Abbattista,
Abbatucci,
Abbay,English
Abbe,
Abbel,
Abben,
Abbenante,
Abbene,
Abbenes,
Abbenhaus,German
Abbenseth,
Abbenzeller,
Abbes,
Abbestée,
Abbet,
Abbetmeier,
Abbetmeyer,
Abbey,English
Abbi,
Abbiate,
Abbiati,
Abbinante,
Abbinanti,
Abbington,
Abbink,
Abbio,
Abbiss,English
Abbo,
Abbona,
Abbondandolo,
Abbondanza,
Abbondanzieri,
Abbondi,
Abbondio,
Abbonizio,
Abbot,English
Abbott,English
Abbotts,
Abbou,
Abbrescia,
Abbri,
Abbruscato,
Abbruzzese,
Abbruzzo,
Abbt,
Abbud,
Abbuhl,
Abby,
Abbà,
Abbéma,
Abbühl,
Abcede,
Abd,
Abd-Daif,
Abdal,
Abdala,
Abdalah,
Abdali,
Abdalian,
Abdalla,
Abdallah,French
Abdalá,
Abdeen,
Abdel,
Abdela,
Abdelaal,
Abdelal,
Abdelaziz,
Abdeldayem,
Abdelfatah,
Abdelfattah,
Abdelghani,
Abdelhadi,
Abdelhady,
Abdelhalim,
Abdelhaq,
Abdeljabbar,
Abdeljaber,
Abdeljawad,
Abdelkader,
Abdelkarim,
Abdella,
Abdellaoue,
Abdellaoui,
Abdellatif,
Abdelmagid,
Abdelmajid,
Abdelmalak,
Abdelmalek,
Abdelmessih,
Abdelmoumen,
Abdelnabi,
Abdelnaby,
Abdelnour,
Abdelqader,
Abdelrahim,
Abdelrahman,
Abdelsalam,
Abdelsayed,
Abdelshahid,
Abdelwahab,
Abdelwahed,
Abdelá,Spanish
Abderhalden,
Abdi,
Abdikadir,
Abdikarim,
Abdil,Turkish
Abdilahi,
Abdill,
Abdillahi,
Abdille,
Abdin,
Abdinoor,
Abdirahman,
Abdo,
Abdoelgafoer,
Abdoli,
Abdollahi,
Abdolrashidi,
Abdon,
Abdoo,
Abdool,
Abdou,
Abdoulaye,
Abdouli,
Abdourahaman,
Abdow,
Abdrahim,
Abdu,
Abdul,English
Abdul-Majid,
Abdula,
Abdulah,
Abdulahad,
Abdulahi,
Abdulai,
Abdulali,
Abdulaziz,
Abdulbaki,
Abdulghani,
Abdulhadi,
Abdulhakeem,
Abdulhakim,
Abdulhameed,
Abdulhamid,
Abdulhaqq,
Abduljabbar,
Abduljalil,
Abdulkader,
Abdulkadir,
Abdulkareem,
Abdulkarim,
Abdulla,
Abdullaev,
Abdullah,
Abdullahi,
Abdullatif,
Abdullayev,"Uzbek,Azerbaijani"
Abdulle,
Abdulmajeed,
Abdulmajid,
Abdulmalik,
Abdulnour,
Abdulraheem,
Abdulrahim,
Abdulrahman,
Abdulrazak,
Abdulsalaam,
Abdulsalam,
Abdulwahab,
Abdulwahid,
Abdurahman,
Abdurrahim,
Abdurrahman,
Abdussabur,
Abdussalaam,
Abdussamad,
Abdy,
Abea,
Abear,
Abecasis,
Abecassis,
Abecassisa,
Abed,
Abedi,
Abedian,
Abedrabbo,
Abee,
Abeele,
Abegaz,
Abegg,
Abegglen,
Abeid,
Abeille,
Abeillon,
Abeja,
Abejuela,
Abel,"French,German,English,Germanic languages"
Abela,
Abelaira,Spanish
Abelanet,
Abelanski,
Abelar,
Abelard,
Abelardo,"Italian,Spanish,Portuguese"
Abele,
Abeleda,
Abeledo,Spanish
Abelein,
Abelen,
Abelenda,
Abeler,
Abelev,
Abelhans,
Abelho,Portuguese
Abelin,
Abeling,
Abelino,
Abelius,
Abeljanov,
Abell,
Abella,
Abellan,
Abellanosa,
Abellar,
Abellard,
Abellera,
Abelli,
Abello,
Abellon,
Abellán,Spanish
Abellí,Catalan
Abelló,Catalan
Abelman,
Abelmann,
Abeln,
Abelon,
Abelow,
Abels,
Abelsen,
Abelseth,
Abelsnes,
Abelson,
Abelsted,
Abelt,
Abelvik,
Abely,
Abelyan,
Aben,
Abenante,
Abenavoli,
Abendano,
Abendaño,"Spanish,Galician"
Abendroth,German
Abendschein,
